Place,Date_start,Date_end,Type_of_Exchange,Currency_From,Amount_From,Currency_To,Amount_To,Notes,Source
Florence,1338.03,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1338.04,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.17,4,289
Florence,1338.05,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1338.06,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1338.07,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",61.58,4,289
Florence,1338.08,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62,4,289
Florence,1338.09,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",61.92,4,289
Florence,1338.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62,4,289
Florence,1338.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62,4,289
Florence,1339,,Commercial,"Florence, florin of",1,"Florence, soldo of",62,4,427
Florence,1339.01,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1341,,Commercial,"Florence, florin of",1,"Florence, soldo of",64,4,111
Florence,1341.04,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",64,4,289
Florence,1342,,Commercial,"Florence, florin of",1,"Florence, soldo of",65.67,4,111
Florence,1342.01,,Loan,"Florence, florin of",1,"Florence, soldo of",64.83,4,289
Florence,1342.04,,"Wage, loan and rent accounting","Florence, florin of",1,"Florence, soldo of",65.67,4,289
Florence,1342.06,,Loan,"Florence, florin of",1,"Florence, soldo of",65.33,4,289
Florence,1342.07,,Loan,"Florence, florin of",1,"Florence, soldo of",65.5,4,289
Florence,1342.08,,Loan,"Florence, florin of",1,"Florence, soldo of",65.25,4,289
Florence,1342.09,,Loan,"Florence, florin of",1,"Florence, soldo of",65.33,4,289
Florence,1342.10,,Accounting involving a loan element,"Florence, florin of",1,"Florence, soldo of",65.33,4,289
Florence,1342.10,,Loan,"Florence, florin of",1,"Florence, soldo of",65,4,289
Florence,1342.11,,Accounting involving a loan element,"Florence, florin of",1,"Florence, soldo of",65.67,4,289
Florence,1342.12,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.83,4,289
Florence,1343,1344,Commercial,"Florence, florin of",1,"Florence, soldo of",65.5,4,111
Florence,1343.01,,Loan,"Florence, florin of",1,"Florence, soldo of",66.08,4,289
Florence,1343.02,,Loan,"Florence, florin of",1,"Florence, soldo of",66,4,289
Florence,1343.03,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",66.08,4,289
Florence,1343.04,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",66,4,289
Florence,1343.08,,Loan,"Florence, florin of",1,"Florence, soldo of",64.75,4,289
Florence,1343.08,,Accounting,"Florence, florin of",1,"Florence, soldo of",64.67,4,289
Florence,1343.09,,Loan,"Florence, florin of",1,"Florence, soldo of",63.5,4,289
Florence,1343.09,,Accounting,"Florence, florin of",1,"Florence, soldo of",64.5,4,289
