Place,Date_start,Date_end,Type_of_Exchange,Currency_From,Amount_From,Currency_To,Amount_To,Notes,Source
Ferrara,1380.07.17,,Bill of exchange,"Venice, ducat of",1,"Venice, soldo piccolo of",83.5,51,358
Venice,1380.09.28,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",85,51,284
Venice,1381,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",82.5,51,111
Venice,1381.05.09,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",85,51,284
Venice,1382,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",80,51,111
Venice,1383.02.21,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",80,51,284
Venice,1384.04.13,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",80,51,284
Venice,1385.03.04,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",81,51,284
Venice,1385.04.12,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",80,51,284
Venice,1386.10.05,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",80,51,284
Venice,1387.01.15,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",80,51,284
Venice,1388.09.24,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",81,51,284
Venice,1389.06.19,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",82,51,284
Venice,1390.06.14,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",80,51,284
Venice,1390.08.12,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",84,51,284
Venice,1391.03.02,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",84,51,284
Venice,1391.08.11,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",82,51,284
Venice,1392.02.23,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",82,51,284
Venice,1392.06.01,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",83,51,284
Venice,1393.05.08,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",81,51,284
Venice,1393.10.21,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",84,51,284
Venice,1394.10.30,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",82,51,284
Venice,1395.02.25,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",81,51,284
Venice,1395.10.19,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",82,51,284
Venice,1396.05.17,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",84,51,284
Venice,1397.07.26,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",88,51,284
Venice,1397.09.01,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",89,51,284
Venice,1398.03.04,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",90,51,284
Venice,1399.04.04,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",90,51,284
Venice,1399.08.07,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",89,51,284
Venice,1400.01,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",89.5,51,284
Venice,1400.02.12,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",85,51,284
Venice,1400.05.29,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",87,51,284
Venice,1400.07.10,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",90,51,284
Venice,1401.01.29,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",90,51,284
Venice,1401.04.18,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",91,51,284
Venice,1401.10.31,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",92,51,284
Venice,1402.05.27,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",92,51,284
Venice,1402.10.01,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",93,51,284
Venice,1403.04.11,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",94,51,284
Venice,1404.05.24,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",91,51,284
Venice,1405.01.02,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",92,51,284
Venice,1407.05.10,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",93,51,284
Venice,1407.10.31,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",95,51,284
Venice,1408,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",96,51,111
Venice,1408.06,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",95,51,284
Venice,1409.05.01,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",94.5,51,284
Venice,1410.06.10,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",94,51,284
Venice,1411.10.29,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,284
Venice,1412,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",94.67,51,111
Venice,1413,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,273
Venice,1414.11.10,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,273
Venice,1415.01.29,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,284
Venice,1417,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,111
Venice,1418,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",101,51,111
Venice,1418.02.22,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,284
Venice,1418.03.09,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1421.04.30,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",103,51,284
Venice,1421.08.22,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",103,51,284
Venice,1422,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1422.03.07,,Accounting,"Venice, ducat of",1,"Venice, soldo (old money, piccolo) of",108,51,284
Venice,1422.03.26,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,284
Venice,1423.01.14,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1423.09.15,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1424,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",103,51,111
Venice,1424.02.15,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,284
Venice,1424.09.27,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",103,51,284
Venice,1425.08.31,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104.17,51,284
Venice,1426.06.28,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",103,51,284
Venice,1427.02.08,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1427.07.13,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",105,51,284
Venice,1428.01.20,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1428.03.11,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",103,51,284
Venice,1428.08.08,,Official,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,284
Venice,1428.08.18,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1429,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,111
Venice,1429.08.01,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104.25,51,284
Venice,1429.08.23,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",104,51,284
Venice,1430.09.22,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",106,51,284
Venice,1431.02.13,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",106,51,284
Venice,1431.11.06,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",105,51,284
Venice,1432.08.16,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",107,51,284
Venice,1432.10.25,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",107.5,51,284
Venice,1432.12.29,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",108,51,284
Venice,1433,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",110,51,111
Venice,1433.02.12,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",108,51,284
Venice,1433.05.17,,Official,"Venice, ducat of",1,"Venice, soldo piccolo of",100,51,284
Venice,1434.08.12,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",110,51,284
Venice,1435.07.20,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",110.42,51,284
Venice,1436.03.15,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",111.21,51,284
Venice,1437.09.15,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",111,51,284
Venice,1437.10.17,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",110,51,284
Venice,1437.10.30,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",111,51,284
Venice,1438,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",110,51,284
Venice,1439.07.21,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",113,51,284
Venice,1440.04.22,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1441,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",113,51,111
Venice,1441.09.07,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1442.02.15,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",113.71,51,284
Venice,1442.11.21,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1443,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,111
Venice,1443.03.22,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",113.5,51,284
Venice,1443.05.09,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1444.01.23,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1445.06.28,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1446,1451,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1452,,Commercial,"Venice, ducat of",1,"Venice, soldo piccolo of",116,51,111
Venice,1452.01.07,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1453,,Recalculated,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,359
Venice,1453.01.22,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",114,51,284
Venice,1453.10.09,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",118,51,284
Venice,1454.01.02,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",120,51,284
Venice,1454.12.04,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",122,51,284
Venice,1455.01.15,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",123,51,284
Venice,1455.03.26,,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",123,51,284
Venice,1455.04.14,1472.05,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",124,51,284
Venice,1472.05,1472.06,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",120,51,284
Venice,1472.05,1472.06,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",116,51,284
Venice,1472.05,1472.06,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",122,51,284
Venice,1472.05,1472.06,Accounting,"Venice, ducat of",1,"Venice, soldo piccolo of",118,51,284
Venice,1472.06,1500,Official,"Venice, ducat of",1,"Venice, soldo piccolo of",124,51,111
Venice,1202,1254,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",26,52,284
Venice,1254,,Official,"Venice, grosso of",1,"Venice, denaro piccolo of",26.11,52,345
Venice,1259.03.19,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",26.67,52,356
Venice,1265,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",27,52,412
Venice,1267,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",26,52,412
Venice,1268,1280,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",28,52,284
Venice,1269,,Official,"Venice, grosso of",1,"Venice, denaro piccolo of",28,52,345
Venice,1269,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",28,52,412
Venice,1274,,Official,"Venice, grosso of",1,"Venice, denaro piccolo of",28,52,284
Venice,1274,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",28,52,412
Venice,1275,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",30,52,412
Venice,1276,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",27,52,412
Venice,1280,1331,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,284
Venice,1282,,Official,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,345
Venice,1282,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,313
Venice,1290,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,412
Venice,1291,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,412
Venice,1298,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,412
Venice,1307,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",30,52,284
Venice,1307.03.23,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",28,52,298
Venice,1308.10.26,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,298
Venice,1321,,Official,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,345
Venice,1331,1332,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",36,52,284
Venice,1341.03.08,,Official,"Venice, grosso of",1,"Venice, denaro piccolo of",32,52,32
Venice,1344,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",41,52,284
Venice,1352,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",41,52,284
Venice,1370,,Commercial,"Venice, grosso of",1,"Venice, denaro piccolo of",44 - 48,52,284
Venice,1379,1468,Official,"Venice, grosso of",1,"Venice, denaro piccolo of",48,52,284
Curia,1277,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",20,53,439
Curia,1280,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",18.5,53,439
Curia,1280,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",20,53,439
Curia,1290,1294,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",20,53,439
Venice,1291,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",18.5,53,439
Curia,1296,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",20,53,439
Curia,1300,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24,53,439
Curia,1305,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24,53,439
Curia,1308,1309,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24,53,229
Curia,1308,1309,Accounting,"Florence, florin of",1,"Venice, grosso of",24,53,439
Curia,1319,1320,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24,53,439
Curia,1319,1320,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",26,53,439
Curia,1321,1323,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24,53,439
Curia,1326,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24,53,439
Curia,1326,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",25,53,439
Pisa-Venice,1326.02.18,,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24.25,53,298
Castello Venezia,1333,1335,Bill of exchange,"Florence, florin of",1,"Venice, grosso of",24,53,226
Venice,1339.03.20,,Commercial,"Florence, florin of",1,"Venice, grosso of",circa 24.33,53,334
Jerusalem,1344.05,,Accounting,"Florence, florin of",1,"Venice, grosso of",18,53,11
Jerusalem,1346 spring,,Accounting,"Florence, florin of",1,"Venice, grosso of",18,53,11
Venice,1284,1285,Official,"Venice, ducat of",1,"Venice, grosso of",18,53,345
Venice,1284,1286,Accounting,"Venice, ducat of",1,"Venice, grosso of",20,53,284
Venice,1284,1286,Accounting,"Venice, ducat of",1,"Venice, grosso of",19,53,284
Venice,1285.05.03,,Official,"Venice, ducat of",1,"Venice, grosso of",18.33,53,284
Venice,1290,,Accounting,"Venice, ducat of",1,"Venice, grosso of",18.5,53,284
Venice,1292,1298,Accounting,"Venice, ducat of",1,"Venice, grosso of",20,53,284
Venice,13th c. end,,Recalculated,"Venice, ducat of",1,"Venice, grosso of",18 - 20,53,180
Venice,1305,1310,Commercial,"Venice, ducat of",1,"Venice, grosso of",24,53,345
Venice,1305,1310,Official,"Venice, ducat of",1,"Venice, grosso of",18.5,53,345
Venice,1305,1325,Commercial,"Venice, ducat of",1,"Venice, grosso of",24,53,409
Venice,1314.06,1314.12,Commercial,"Venice, ducat of",1,"Venice, grosso of",28,53,345
Venice,1328,,Commercial,"Venice, ducat of",1,"Venice, grosso of",22,53,409
Venice,1328,,Official,"Venice, ducat of",1,"Venice, grosso of",24,53,345
Venice,1328,,Commercial,"Venice, ducat of",1,"Venice, grosso of",20,53,409
Venice,1362.01.02,,Official,"Venice, ducat of",1,"Venice, grosso novo of",18,53,101
Jerusalem,1384.10.09,,Accounting,"Venice, ducat of",1,"Venice, grosso of",18,53,11
Venice,1458.05.08,,Accounting,"Venice, ducat of",1,"Venice, grosso novo of",28,53,11
Levant,1458.06.08,,Accounting,"Venice, ducat of",1,"Venice, grosso of",24 - 26,53,11
Lucca,1230.11.27,,Accounting,"Venice, lira di grossi (perhaps) of",1,"Lucca, lira of",12.5,53,48
Viterbo,1278.03.01,,Commercial,"Venice, grosso of",1,"Cortona, denaro of",30,53,108
Rome,1285,,Commercial,"Venice, grosso of",1,"Rome, denaro provisino of",16,53,401
Rome,1290,,Bill of exchange,"Venice, grosso of",1,"Ravenna, denaro of",17,53,439
Padua,1294.02.26,,Commercial,"Venice, grosso of",1,"Verona, denaro piccolo of",28,53,118
London,1217.11.15,1218.02.06,Manual,"Venice, lira di grossi of",1,"England, shilling sterling of",30,53,392
Venice-Florence,1383.11.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.93,54,284
Venice-Florence,1384.01.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.96,54,284
Venice-Florence,1384.02.13,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.98,54,284
Venice-Florence,1384.03.26,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.95,54,284
Venice-Florence,1384.04.15,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.98,54,284
Venice-Florence,1384.05.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.95,54,284
Venice-Florence,1384.06.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.85,54,284
Venice-Florence,1384.07.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.96,54,284
Venice-Florence,1384.08.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15,54,284
Venice-Florence,1384.09.15,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.98,54,284
Venice-Florence,1384.10.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.9,54,284
Venice-Florence,1384.11.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.9,54,284
Venice-Florence,1384.12.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.75,54,284
Venice-Florence,1385.01.06,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.91,54,284
Venice-Florence,1385.02.10,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.89,54,284
Venice-Florence,1385.03.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.08,54,284
Venice-Florence,1385.04.08,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.14,54,284
Venice-Florence,1385.05.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.25,54,284
Venice-Florence,1385.06.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.18,54,284
Venice-Florence,1385.07.06,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.21,54,284
Venice-Florence,1385.08.01,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.34,54,284
Venice-Florence,1385.09.16,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.9,54,284
Venice-Florence,1385.10.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.93,54,284
Venice-Florence,1385.11.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.24,54,284
Venice-Florence,1385.12.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.31,54,284
Venice-Florence,1386.01.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.28,54,284
Venice-Florence,1386.02.06,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.97,54,284
Venice-Florence,1386.03.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.01,54,284
Venice-Florence,1386.04.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.02,54,284
Venice-Florence,1386.05.15,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.05,54,284
Venice-Florence,1386.06.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.15,54,284
Venice-Florence,1386.07.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.3,54,284
Venice-Florence,1386.08.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.35,54,284
Venice-Florence,1386.09.01,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.17,54,284
Venice-Florence,1386.10.06,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.09,54,284
Venice-Florence,1386.11.06,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.21,54,284
Venice-Florence,1386.12.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.26,54,284
Venice-Florence,1387.01.10,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.08,54,284
Venice-Florence,1387.02.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.77,54,284
Venice-Florence,1387.03.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.72,54,284
Venice-Florence,1387.04.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.61,54,284
Venice-Florence,1387.05.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.68,54,284
Venice-Florence,1387.06.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.65,54,284
Venice-Florence,1387.07.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.08,54,284
Venice-Florence,1387.08.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.04,54,284
Venice-Florence,1387.09.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.65,54,284
Venice-Florence,1387.10.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.78,54,284
Venice-Florence,1387.11.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.73,54,284
Venice-Florence,1387.12.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.79,54,284
Venice-Florence,1388.01.08,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.83,54,284
Venice-Florence,1388.02.08,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.87,54,284
Venice-Florence,1388.03.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.82,54,284
Venice-Florence,1388.04.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.93,54,284
Venice-Florence,1388.05.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.9,54,284
Venice-Florence,1388.06.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.03,54,284
Venice-Florence,1388.07.16,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.28,54,284
Venice-Florence,1388.08.01,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.28,54,284
Venice-Florence,1388.09.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.79,54,284
Venice-Florence,1388.10.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.77,54,284
Venice-Florence,1388.11.13,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.04,54,284
Venice-Florence,1388.12.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15,54,284
Venice-Florence,1389.01.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.2,54,284
Venice-Florence,1389.02.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.98,54,284
Venice-Florence,1389.03.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.05,54,284
Venice-Florence,1389.04.01,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.98,54,284
Venice-Florence,1389.05.06,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.96,54,284
Venice-Florence,1389.06.12,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.18,54,284
Venice-Florence,1389.07.03,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.36,54,284
Venice-Florence,1389.09.10,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.33,54,284
Venice-Florence,1389.10.12,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.43,54,284
Venice-Florence,1389.11.20,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.5,54,284
Venice-Florence,1389.12.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.36,54,284
Venice-Florence,1390.01.04,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.14,54,284
Venice-Florence,1390.03.05,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.34,54,284
Venice-Florence,1390.05.07,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.33,54,284
Venice-Florence,1390.06.02,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",14.93,54,284
Venice-Florence,1390.08.09,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.68,54,284
Venice-Florence,1390.12.29,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.7,54,284
Venice-Florence,1391.01.14,,Bill of exchange,"Venice, lira di grossi of",1,"Florence, lira affiorino of",15.4,54,284
