year,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Denmark,"Europe, Eurozone",Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Portugal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2058,
1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2053,
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2076,
1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2086,
1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2054,
1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2077,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2053,
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2035,
1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2040,
1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.2046,
1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.2048,
1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2047,
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2037,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2045,
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.2058,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2041,
1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.2062,
1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.2095,
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1799,
1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1413,
1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1003,
1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1300,
1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1454,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1481,
1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1465,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1542,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1790,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9000,,,,,,0.1832,
1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,,,,,,0.1837,
1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1803,
1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1845,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1789,
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.1844,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.1970,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2045,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2000,,,,,,0.2060,
1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1000,,,,,,0.2064,
