year,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Colombia,Denmark,Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Portugal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom,Venezuela
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.03082247,
1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.03028032,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01941809,,,,,,0.06609642,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.03736425,
1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.00730819,
1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01941809,,,,,,0.00193986,
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01941809,,,,,,0.00290276,
1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01904819,,,,,,-0.00824647,
1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.00437425,
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01904819,,,,,,-0.0009704,
1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01904819,,,,,,-0.00048555,
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.00097182,
1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01904819,,,,,,0.00194269,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01904819,,,,,,-0.00388916,
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01869213,,,,,,0.00048697,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0014595,
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01834914,,,,,,0.0,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08701138,,,,,,-0.00243368,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03278982,,,,,,0.00194742,
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.00292255,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03278982,,,,,,-0.00195313,
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04879016,,,,,,0.00341547,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06155789,,,,,,0.00146021,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18975654,,,,,,0.00339889,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22006188,,,,,,-0.00339889,
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03030535,,,,,,0.0,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0719735,,,,,,-0.00194742,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02817088,,,,,,0.00048721,
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.00146021,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01418463,,,,,,-0.00097324,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04317217,,,,,,0.00097324,
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14197026,,,,,,0.00242895,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01709443,,,,,,-0.00145666,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.00145879,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03509132,,,,,,-0.00146092,
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.00194742,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.00048626,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.00097276,
1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,-0.00048674,
1914,,,0.02565929,-0.00719691,,-0.0010005,,,,0.00483086,,-0.01731729,0.00640344,,,,,,,-0.01319457,,,,,-0.01223096,,,,,,,,-0.03636764,,,-0.01277602,,,-0.01273903,
